RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Colby Covington,Joaquin Buckley,12/14/24,"Tampa, Florida, USA",Blue,Welterweight,KO/TKO,None,3,Joaquin Buckley,Colby Covington
Cub Swanson,Billy Quarantillo,12/14/24,"Tampa, Florida, USA",Red,Featherweight,KO/TKO,Punch,3,Cub Swanson,Billy Quarantillo
Manel Kape,Bruno Silva,12/14/24,"Tampa, Florida, USA",Red,Flyweight,KO/TKO,Punches,3,Manel Kape,Bruno Silva
Vitor Petrino,Dustin Jacoby,12/14/24,"Tampa, Florida, USA",Blue,Light Heavyweight,KO/TKO,Punch,3,Dustin Jacoby,Vitor Petrino
Adrian Yanez,Daniel Marcos,12/14/24,"Tampa, Florida, USA",Blue,Bantamweight,S-DEC,None,3,Daniel Marcos,Adrian Yanez
Navajo Stirling,Tuco Tokkos,12/14/24,"Tampa, Florida, USA",Red,Light Heavyweight,U-DEC,None,3,Navajo Stirling,Tuco Tokkos
Michael Johnson,Ottman Azaitar,12/14/24,"Tampa, Florida, USA",Red,Lightweight,KO/TKO,Punch,2,Michael Johnson,Ottman Azaitar
Joel Alvarez,Drakkar Klose,12/14/24,"Tampa, Florida, USA",Red,Lightweight,KO/TKO,Knee,1,Joel Alvarez,Drakkar Klose
Sean Woodson,Fernando Padilla,12/14/24,"Tampa, Florida, USA",Red,Featherweight,KO/TKO,Punches,1,Sean Woodson,Fernando Padilla
Miles Johns,Felipe Lima,12/14/24,"Tampa, Florida, USA",Blue,Featherweight,U-DEC,None,3,Felipe Lima,Miles Johns
Miranda Maverick,Jamey-Lyn Horth,12/14/24,"Tampa, Florida, USA",Red,Women's Flyweight,U-DEC,None,3,Miranda Maverick,Jamey-Lyn Horth
Davey Grant,Ramon Taveras,12/14/24,"Tampa, Florida, USA",Red,Bantamweight,U-DEC,None,3,Davey Grant,Ramon Taveras
Josefine Knutsson,Piera Rodriguez,12/14/24,"Tampa, Florida, USA",Blue,Women's Strawweight,U-DEC,None,3,Piera Rodriguez,Josefine Knutsson
Alexandre Pantoja,Kai Asakura,12/7/24,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Rear Naked Choke,2,Alexandre Pantoja,Kai Asakura
Shavkat Rakhmonov,Ian Machado Garry,12/7/24,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,5,Shavkat Rakhmonov,Ian Machado Garry
Ciryl Gane,Alexander Volkov,12/7/24,"Las Vegas, Nevada, USA",Red,Heavyweight,S-DEC,None,3,Ciryl Gane,Alexander Volkov
Bryce Mitchell,Kron Gracie,12/7/24,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Elbows,3,Bryce Mitchell,Kron Gracie
Nate Landwehr,Dooho Choi,12/7/24,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Elbows,3,Dooho Choi,Nate Landwehr
Dominick Reyes,Anthony Smith,12/7/24,"Las Vegas, Nevada, USA",Red,Light Heavyweight,KO/TKO,Punches,2,Dominick Reyes,Anthony Smith
Vicente Luque,Themba Gorimbo,12/7/24,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Anaconda Choke,1,Vicente Luque,Themba Gorimbo
Movsar Evloev,Aljamain Sterling,12/7/24,"Las Vegas, Nevada, USA",Red,Featherweight,U-DEC,None,3,Movsar Evloev,Aljamain Sterling
Randy Brown,Bryan Battle,12/7/24,"Las Vegas, Nevada, USA",Blue,Welterweight,S-DEC,None,3,Bryan Battle,Randy Brown
Chris Weidman,Eryk Anders,12/7/24,"Las Vegas, Nevada, USA",Blue,Catch Weight,KO/TKO,Punches,2,Eryk Anders,Chris Weidman
Cody Durden,Joshua Van,12/7/24,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Joshua Van,Cody Durden
Michael Chiesa,Max Griffin,12/7/24,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Rear Naked Choke,3,Michael Chiesa,Max Griffin
Clay Guida,Chase Hooper,12/7/24,"Las Vegas, Nevada, USA",Blue,Lightweight,SUB,Armbar,1,Chase Hooper,Clay Guida
Kennedy Nzechukwu,Lukasz Brzeski,12/7/24,"Las Vegas, Nevada, USA",Red,Heavyweight,KO/TKO,Punch,1,Kennedy Nzechukwu,Lukasz Brzeski
Petr Yan,Deiveson Figueiredo,11/23/24,"Macau, China",Red,Bantamweight,U-DEC,None,5,Petr Yan,Deiveson Figueiredo
Yan Xiaonan,Tabatha Ricci,11/23/24,"Macau, China",Red,Women's Strawweight,U-DEC,None,3,Yan Xiaonan,Tabatha Ricci
Song Kenan,Muslim Salikhov,11/23/24,"Macau, China",Blue,Welterweight,KO/TKO,Kick,1,Muslim Salikhov,Song Kenan
Wang Cong,Gabriella Fernandes,11/23/24,"Macau, China",Blue,Women's Flyweight,SUB,Rear Naked Choke,2,Gabriella Fernandes,Wang Cong
Volkan Oezdemir,Carlos Ulberg,11/23/24,"Macau, China",Blue,Light Heavyweight,U-DEC,None,3,Carlos Ulberg,Volkan Oezdemir
Zhang Mingyang,Ozzy Diaz,11/23/24,"Macau, China",Red,Light Heavyweight,KO/TKO,Elbow,1,Zhang Mingyang,Ozzy Diaz
Baergeng Jieleyisi,SuYoung You,11/23/24,"Macau, China",Blue,Bantamweight,U-DEC,None,3,SuYoung You,Baergeng Jieleyisi
Kiru Sahota,DongHun Choi,11/23/24,"Macau, China",Blue,Flyweight,KO/TKO,Punch,1,DongHun Choi,Kiru Sahota
Shi Ming,Feng Xiaocan,11/23/24,"Macau, China",Red,Women's Strawweight,KO/TKO,Kick,3,Shi Ming,Feng Xiaocan
Nyamjargal Tumendemberel,Carlos Hernandez,11/23/24,"Macau, China",Blue,Flyweight,S-DEC,None,3,Carlos Hernandez,Nyamjargal Tumendemberel
Lone'er Kavanagh,Jose Ochoa,11/23/24,"Macau, China",Red,Flyweight,U-DEC,None,3,Lone'er Kavanagh,Jose Ochoa
Xiao Long,Quang Le,11/23/24,"Macau, China",Red,Bantamweight,KO/TKO,Punch,3,Xiao Long,Quang Le
Maheshate,Nikolas Motta,11/23/24,"Macau, China",Blue,Lightweight,U-DEC,None,3,Nikolas Motta,Maheshate
Jon Jones,Stipe Miocic,11/16/24,"New York City, New York, USA",Red,Heavyweight,KO/TKO,Spinning Back Kick,3,Jon Jones,Stipe Miocic
Charles Oliveira,Michael Chandler,11/16/24,"New York City, New York, USA",Red,Lightweight,U-DEC,None,5,Charles Oliveira,Michael Chandler
Bo Nickal,Paul Craig,11/16/24,"New York City, New York, USA",Red,Middleweight,U-DEC,None,3,Bo Nickal,Paul Craig
Viviane Araujo,Karine Silva,11/16/24,"New York City, New York, USA",Red,Women's Flyweight,U-DEC,None,3,Viviane Araujo,Karine Silva
Mauricio Ruffy,James Llontop,11/16/24,"New York City, New York, USA",Red,Catch Weight,U-DEC,None,3,Mauricio Ruffy,James Llontop
Jonathan Martinez,Marcus McGhee,11/16/24,"New York City, New York, USA",Blue,Bantamweight,U-DEC,None,3,Marcus McGhee,Jonathan Martinez
Jim Miller,Damon Jackson,11/16/24,"New York City, New York, USA",Red,Lightweight,SUB,Guillotine Choke,1,Jim Miller,Damon Jackson
David Onama,Roberto Romero,11/16/24,"New York City, New York, USA",Red,Lightweight,U-DEC,None,3,David Onama,Roberto Romero
Marcin Tybura,Jhonata Diniz,11/16/24,"New York City, New York, USA",Red,Heavyweight,KO/TKO,None,2,Marcin Tybura,Jhonata Diniz
Mickey Gall,Ramiz Brahimaj,11/16/24,"New York City, New York, USA",Blue,Welterweight,KO/TKO,Punch,1,Ramiz Brahimaj,Mickey Gall
Bassil Hafez,Oban Elliott,11/16/24,"New York City, New York, USA",Blue,Welterweight,KO/TKO,Punch,3,Oban Elliott,Bassil Hafez
Veronica Hardy,Eduarda Moura,11/16/24,"New York City, New York, USA",Blue,Women's Flyweight,U-DEC,None,3,Eduarda Moura,Veronica Hardy
Neil Magny,Carlos Prates,11/9/24,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Punch,1,Carlos Prates,Neil Magny
Gerald Meerschaert,Reinier de Ridder,11/9/24,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Arm Triangle,3,Reinier de Ridder,Gerald Meerschaert
Gaston Bolanos,Cortavious Romious,11/9/24,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Gaston Bolanos,Cortavious Romious
Luana Pinheiro,Gillian Robertson,11/9/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Gillian Robertson,Luana Pinheiro
Mansur Abdul-Malik,Dusko Todorovic,11/9/24,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Punches,1,Mansur Abdul-Malik,Dusko Todorovic
Karolina Kowalkiewicz,Denise Gomes,11/9/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Denise Gomes,Karolina Kowalkiewicz
Elizeu Zaleski dos Santos,Zachary Scroggin,11/9/24,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punches,1,Elizeu Zaleski dos Santos,Zachary Scroggin
Matthew Semelsberger,Charles Radtke,11/9/24,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Punches,1,Charles Radtke,Matthew Semelsberger
Cody Stamann,Da'Mon Blackshear,11/9/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,SUB,Rear Naked Choke,1,Da'Mon Blackshear,Cody Stamann
Tresean Gore,Antonio Trocoli,11/9/24,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Guillotine Choke,1,Tresean Gore,Antonio Trocoli
Melissa Mullins,Klaudia Sygula,11/9/24,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,KO/TKO,Punches,2,Melissa Mullins,Klaudia Sygula
Brandon Moreno,Amir Albazi,11/2/24,"Edmonton, Alberta, Canada",Red,Flyweight,U-DEC,None,5,Brandon Moreno,Amir Albazi
Erin Blanchfield,Rose Namajunas,11/2/24,"Edmonton, Alberta, Canada",Red,Women's Flyweight,U-DEC,None,5,Erin Blanchfield,Rose Namajunas
Caio Machado,Brendson Ribeiro,11/2/24,"Edmonton, Alberta, Canada",Blue,Light Heavyweight,S-DEC,None,3,Brendson Ribeiro,Caio Machado
Ariane da Silva,Jasmine Jasudavicius,11/2/24,"Edmonton, Alberta, Canada",Blue,Women's Flyweight,SUB,D'Arce Choke,3,Jasmine Jasudavicius,Ariane da Silva
Marc-Andre Barriault,Dustin Stoltzfus,11/2/24,"Edmonton, Alberta, Canada",Blue,Middleweight,KO/TKO,Punch,1,Dustin Stoltzfus,Marc-Andre Barriault
Mike Malott,Trevin Giles,11/2/24,"Edmonton, Alberta, Canada",Red,Welterweight,U-DEC,None,3,Mike Malott,Trevin Giles
Aiemann Zahabi,Pedro Munhoz,11/2/24,"Edmonton, Alberta, Canada",Red,Bantamweight,U-DEC,None,3,Aiemann Zahabi,Pedro Munhoz
Charles Jourdain,Victor Henry,11/2/24,"Edmonton, Alberta, Canada",Red,Bantamweight,SUB,Guillotine Choke,2,Charles Jourdain,Victor Henry
Jack Shore,Youssef Zalal,11/2/24,"Edmonton, Alberta, Canada",Blue,Featherweight,SUB,Arm Triangle,2,Youssef Zalal,Jack Shore
Alexandr Romanov,Rodrigo Nascimento,11/2/24,"Edmonton, Alberta, Canada",Red,Heavyweight,U-DEC,None,3,Alexandr Romanov,Rodrigo Nascimento
Serhiy Sidey,Garrett Armfield,11/2/24,"Edmonton, Alberta, Canada",Red,Bantamweight,S-DEC,None,3,Serhiy Sidey,Garrett Armfield
Chad Anheliger,Cody Gibson,11/2/24,"Edmonton, Alberta, Canada",Blue,Bantamweight,U-DEC,None,3,Cody Gibson,Chad Anheliger
Jamey-Lyn Horth,Ivana Petrovic,11/2/24,"Edmonton, Alberta, Canada",Red,Women's Flyweight,S-DEC,None,3,Jamey-Lyn Horth,Ivana Petrovic
Ilia Topuria,Max Holloway,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,KO/TKO,Punch,3,Ilia Topuria,Max Holloway
Robert Whittaker,Khamzat Chimaev,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Middleweight,SUB,Rear Naked Choke,1,Khamzat Chimaev,Robert Whittaker
Magomed Ankalaev,Aleksandar Rakic,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Light Heavyweight,U-DEC,None,3,Magomed Ankalaev,Aleksandar Rakic
Lerone Murphy,Dan Ige,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,U-DEC,None,3,Lerone Murphy,Dan Ige
Shara Magomedov,Armen Petrosyan,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,KO/TKO,Spinning Back Fist,2,Shara Magomedov,Armen Petrosyan
Ibo Aslan,Rafael Cerqueira,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Light Heavyweight,KO/TKO,Punches,1,Ibo Aslan,Rafael Cerqueira
Geoff Neal,Rafael Dos Anjos,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,KO/TKO,None,1,Geoff Neal,Rafael Dos Anjos
Mateusz Rebecki,Myktybek Orolbai,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Catch Weight,S-DEC,None,3,Mateusz Rebecki,Myktybek Orolbai
Abus Magomedov,Brunno Ferreira,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,SUB,Arm Triangle,3,Abus Magomedov,Brunno Ferreira
Kennedy Nzechukwu,Chris Barnett,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Heavyweight,KO/TKO,Knee,1,Kennedy Nzechukwu,Chris Barnett
Farid Basharat,Victor Hugo,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Featherweight,U-DEC,None,3,Farid Basharat,Victor Hugo
Ismail Naurdiev,Bruno Silva,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,U-DEC,None,3,Ismail Naurdiev,Bruno Silva
Rinat Fakhretdinov,Carlos Leal,10/26/24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,U-DEC,None,3,Rinat Fakhretdinov,Carlos Leal
Anthony Hernandez,Michel Pereira,10/19/24,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Elbows,5,Anthony Hernandez,Michel Pereira
Rob Font,Kyler Phillips,10/19/24,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Rob Font,Kyler Phillips
Charles Johnson,Sumudaerji,10/19/24,"Las Vegas, Nevada, USA",Red,Flyweight,U-DEC,None,3,Charles Johnson,Sumudaerji
Jake Hadley,Cameron Smotherman,10/19/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Cameron Smotherman,Jake Hadley
Darren Elkins,Daniel Pineda,10/19/24,"Las Vegas, Nevada, USA",Red,Featherweight,U-DEC,None,3,Darren Elkins,Daniel Pineda
Matheus Nicolau,Asu Almabayev,10/19/24,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Asu Almabayev,Matheus Nicolau
Brad Katona,Jean Matsumoto,10/19/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Jean Matsumoto,Brad Katona
Joselyne Edwards,Tamires Vidal,10/19/24,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,SUB,Rear Naked Choke,3,Joselyne Edwards,Tamires Vidal
Jessica Penne,Elise Reed,10/19/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Elise Reed,Jessica Penne
Melissa Martinez,Alice Ardelean,10/19/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,U-DEC,None,3,Melissa Martinez,Alice Ardelean
Austen Lane,Robelis Despaigne,10/19/24,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Austen Lane,Robelis Despaigne
Brandon Royval,Tatsuro Taira,10/12/24,"Las Vegas, Nevada, USA",Red,Flyweight,S-DEC,None,5,Brandon Royval,Tatsuro Taira
Brad Tavares,JunYong Park,10/12/24,"Las Vegas, Nevada, USA",Blue,Middleweight,S-DEC,None,3,JunYong Park,Brad Tavares
Chidi Njokuani,Jared Gooden,10/12/24,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Chidi Njokuani,Jared Gooden
Grant Dawson,Rafa Garcia,10/12/24,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Punches,2,Grant Dawson,Rafa Garcia
Daniel Rodriguez,Alex Morono,10/12/24,"Las Vegas, Nevada, USA",Red,Welterweight,S-DEC,None,3,Daniel Rodriguez,Alex Morono
CJ Vergara,Ramazan Temirov,10/12/24,"Las Vegas, Nevada, USA",Blue,Flyweight,KO/TKO,Punch,1,Ramazan Temirov,CJ Vergara
Jonathan Pearce,Pat Sabatini,10/12/24,"Las Vegas, Nevada, USA",Blue,Featherweight,SUB,Rear Naked Choke,1,Pat Sabatini,Jonathan Pearce
Themba Gorimbo,Niko Price,10/12/24,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Themba Gorimbo,Niko Price
Junior Tafa,Sean Sharaf,10/12/24,"Las Vegas, Nevada, USA",Red,Heavyweight,KO/TKO,Punches,2,Junior Tafa,Sean Sharaf
Julia Polastri,Cory McKenna,10/12/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,S-DEC,None,3,Julia Polastri,Cory McKenna
Dan Argueta,Cody Haddon,10/12/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Cody Haddon,Dan Argueta
Clayton Carpenter,Lucas Rocha,10/12/24,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Rear Naked Choke,2,Clayton Carpenter,Lucas Rocha
Alex Pereira,Khalil Rountree Jr.,10/5/24,"Salt Lake City, Utah, USA",Red,Light Heavyweight,KO/TKO,Punch,4,Alex Pereira,Khalil Rountree Jr.
Raquel Pennington,Julianna Pena,10/5/24,"Salt Lake City, Utah, USA",Blue,Women's Bantamweight,S-DEC,None,5,Julianna Pena,Raquel Pennington
Jose Aldo,Mario Bautista,10/5/24,"Salt Lake City, Utah, USA",Blue,Bantamweight,S-DEC,None,3,Mario Bautista,Jose Aldo
Roman Dolidze,Kevin Holland,10/5/24,"Salt Lake City, Utah, USA",Red,Middleweight,KO/TKO,None,1,Roman Dolidze,Kevin Holland
Ketlen Vieira,Kayla Harrison,10/5/24,"Salt Lake City, Utah, USA",Blue,Women's Bantamweight,U-DEC,None,3,Kayla Harrison,Ketlen Vieira
Stephen Thompson,Joaquin Buckley,10/5/24,"Salt Lake City, Utah, USA",Blue,Welterweight,KO/TKO,Punch,3,Joaquin Buckley,Stephen Thompson
Marina Rodriguez,Iasmin Lucindo,10/5/24,"Salt Lake City, Utah, USA",Blue,Women's Strawweight,S-DEC,None,3,Iasmin Lucindo,Marina Rodriguez
Austin Hubbard,Alexander Hernandez,10/5/24,"Salt Lake City, Utah, USA",Blue,Lightweight,S-DEC,None,3,Alexander Hernandez,Austin Hubbard
Cesar Almeida,Ihor Potieria,10/5/24,"Salt Lake City, Utah, USA",Red,Middleweight,U-DEC,None,3,Cesar Almeida,Ihor Potieria
Ryan Spann,Ovince Saint Preux,10/5/24,"Salt Lake City, Utah, USA",Red,Light Heavyweight,SUB,Guillotine Choke,1,Ryan Spann,Ovince Saint Preux
Carla Esparza,Tecia Pennington,10/5/24,"Salt Lake City, Utah, USA",Blue,Women's Strawweight,U-DEC,None,3,Tecia Pennington,Carla Esparza
Court McGee,Tim Means,10/5/24,"Salt Lake City, Utah, USA",Red,Welterweight,SUB,Rear Naked Choke,1,Court McGee,Tim Means
Renato Moicano,Benoit Saint Denis,9/28/24,"Paris, Ile-de-France, France",Red,Lightweight,KO/TKO,None,2,Renato Moicano,Benoit Saint Denis
Nassourdine Imavov,Brendan Allen,9/28/24,"Paris, Ile-de-France, France",Red,Middleweight,U-DEC,None,3,Nassourdine Imavov,Brendan Allen
William Gomis,Joanderson Brito,9/28/24,"Paris, Ile-de-France, France",Red,Featherweight,S-DEC,None,3,William Gomis,Joanderson Brito
Kevin Jousset,Bryan Battle,9/28/24,"Paris, Ile-de-France, France",Blue,Welterweight,KO/TKO,Punches,2,Bryan Battle,Kevin Jousset
Morgan Charriere,Gabriel Miranda,9/28/24,"Paris, Ile-de-France, France",Red,Featherweight,KO/TKO,Punch,2,Morgan Charriere,Gabriel Miranda
Fares Ziam,Matt Frevola,9/28/24,"Paris, Ile-de-France, France",Red,Lightweight,KO/TKO,Knee,3,Fares Ziam,Matt Frevola
Ion Cutelaba,Ivan Erslan,9/28/24,"Paris, Ile-de-France, France",Red,Light Heavyweight,S-DEC,None,3,Ion Cutelaba,Ivan Erslan
Oumar Sy,Da Woon Jung,9/28/24,"Paris, Ile-de-France, France",Red,Light Heavyweight,U-DEC,None,3,Oumar Sy,Da Woon Jung
Ludovit Klein,Roosevelt Roberts,9/28/24,"Paris, Ile-de-France, France",Red,Lightweight,U-DEC,None,3,Ludovit Klein,Roosevelt Roberts
Taylor Lapilus,Vince Morales,9/28/24,"Paris, Ile-de-France, France",Red,Bantamweight,U-DEC,None,3,Taylor Lapilus,Vince Morales
Ailin Perez,Daria Zhelezniakova,9/28/24,"Paris, Ile-de-France, France",Red,Women's Bantamweight,SUB,Arm Triangle,1,Ailin Perez,Daria Zhelezniakova
Daniel Barez,Victor Altamirano,9/28/24,"Paris, Ile-de-France, France",Red,Flyweight,U-DEC,None,3,Daniel Barez,Victor Altamirano
Nora Cornolle,Jacqueline Cavalcanti,9/28/24,"Paris, Ile-de-France, France",Blue,Women's Bantamweight,S-DEC,None,3,Jacqueline Cavalcanti,Nora Cornolle
Bolaji Oki,Chris Duncan,9/28/24,"Paris, Ile-de-France, France",Blue,Lightweight,SUB,Guillotine Choke,1,Chris Duncan,Bolaji Oki
Sean O'Malley,Merab Dvalishvili,9/14/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,5,Merab Dvalishvili,Sean O'Malley
Alexa Grasso,Valentina Shevchenko,9/14/24,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,U-DEC,None,5,Valentina Shevchenko,Alexa Grasso
Brian Ortega,Diego Lopes,9/14/24,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Diego Lopes,Brian Ortega
Daniel Zellhuber,Esteban Ribovics,9/14/24,"Las Vegas, Nevada, USA",Blue,Lightweight,S-DEC,None,3,Esteban Ribovics,Daniel Zellhuber
Ronaldo Rodriguez,Ode Osbourne,9/14/24,"Las Vegas, Nevada, USA",Red,Flyweight,U-DEC,None,3,Ronaldo Rodriguez,Ode Osbourne
Irene Aldana,Norma Dumont,9/14/24,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,U-DEC,None,3,Norma Dumont,Irene Aldana
Manuel Torres,Ignacio Bahamondes,9/14/24,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,Punch,1,Ignacio Bahamondes,Manuel Torres
Yazmin Jauregui,Ketlen Souza,9/14/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,SUB,Rear Naked Choke,1,Ketlen Souza,Yazmin Jauregui
Edgar Chairez,Joshua Van,9/14/24,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Joshua Van,Edgar Chairez
Raul Rosas Jr.,Aoriqileng,9/14/24,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Raul Rosas Jr.,Aoriqileng
Gilbert Burns,Sean Brady,9/7/24,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,5,Sean Brady,Gilbert Burns
Jessica Andrade,Natalia Silva,9/7/24,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,U-DEC,None,3,Natalia Silva,Jessica Andrade
Steve Garcia,Kyle Nelson,9/7/24,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Elbows,1,Steve Garcia,Kyle Nelson
Matt Schnell,Cody Durden,9/7/24,"Las Vegas, Nevada, USA",Blue,Bantamweight,SUB,Guillotine Choke,2,Cody Durden,Matt Schnell
Trevor Peek,Yanal Ashmouz,9/7/24,"Las Vegas, Nevada, USA",Blue,Lightweight,U-DEC,None,3,Yanal Ashmouz,Trevor Peek
Rongzhu,Chris Padilla,9/7/24,"Las Vegas, Nevada, USA",Blue,Lightweight,KO/TKO,None,2,Chris Padilla,Rongzhu
Isaac Dulgarian,Brendon Marotte,9/7/24,"Las Vegas, Nevada, USA",Red,Featherweight,SUB,Arm Triangle,2,Isaac Dulgarian,Brendon Marotte
Felipe dos Santos,Andre Lima,9/7/24,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Andre Lima,Felipe dos Santos
Yizha,Gabriel Santos,9/7/24,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Gabriel Santos,Yizha
Jaqueline Amorim,Vanessa Demopoulos,9/7/24,"Las Vegas, Nevada, USA",Red,Women's Strawweight,SUB,Armbar,1,Jaqueline Amorim,Vanessa Demopoulos
Andre Petroski,Dylan Budka,9/7/24,"Las Vegas, Nevada, USA",Red,Middleweight,U-DEC,None,3,Andre Petroski,Dylan Budka
Zygimantas Ramaska,Nathan Fletcher,9/7/24,"Las Vegas, Nevada, USA",Blue,Featherweight,SUB,Arm Triangle,2,Nathan Fletcher,Zygimantas Ramaska
Jared Cannonier,Caio Borralho,8/24/24,"Las Vegas, Nevada, USA",Blue,Middleweight,U-DEC,None,5,Caio Borralho,Jared Cannonier
Angela Hill,Tabatha Ricci,8/24/24,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Tabatha Ricci,Angela Hill
Robert Valentin,Ryan Loder,8/24/24,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Elbows,2,Ryan Loder,Robert Valentin
Kaan Ofli,Mairon Santos,8/24/24,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Punch,2,Mairon Santos,Kaan Ofli
Neil Magny,Michael Morales,8/24/24,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Punches,1,Michael Morales,Neil Magny
Edmen Shahbazyan,Gerald Meerschaert,8/24/24,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Arm Triangle,2,Gerald Meerschaert,Edmen Shahbazyan
Dennis Buzukja,Francis Marshall,8/24/24,"Las Vegas, Nevada, USA",Blue,Lightweight,S-DEC,None,3,Francis Marshall,Dennis Buzukja
Zachary Reese,Jose Daniel Medina,8/24/24,"Las Vegas, Nevada, USA",Red,Middleweight,U-DEC,None,3,Zachary Reese,Jose Daniel Medina
Viacheslav Borshchev,James Llontop,8/24/24,"Las Vegas, Nevada, USA",Red,Lightweight,S-DEC,None,3,Viacheslav Borshchev,James Llontop
Jacqueline Cavalcanti,Josiane Nunes,8/24/24,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,S-DEC,None,3,Jacqueline Cavalcanti,Josiane Nunes
Wang Cong,Victoria Leonardo,8/24/24,"Las Vegas, Nevada, USA",Red,Women's Flyweight,KO/TKO,Punches,1,Wang Cong,Victoria Leonardo
Dricus Du Plessis,Israel Adesanya,8/17/24,"Perth, Western Australia, Australia",Red,Middleweight,SUB,Rear Naked Choke,4,Dricus Du Plessis,Israel Adesanya
Kai Kara-France,Steve Erceg,8/17/24,"Perth, Western Australia, Australia",Red,Flyweight,KO/TKO,Punch,1,Kai Kara-France,Steve Erceg
Mateusz Gamrot,Dan Hooker,8/17/24,"Perth, Western Australia, Australia",Blue,Lightweight,S-DEC,None,3,Dan Hooker,Mateusz Gamrot
